Title,Director,Cast,Genre,comb
spyder,AR Murugadoss,"Mahesh Babu, Rakul Preet Singh, S. J. Surya, Bharath, RJ Balaji, Shaji Chen, Priyadarshi Pullikonda, Sayaji Shinde, Nagineedu, Jayaprakash, Dheepa Ramanujam, Ajay Rathnam, Hareesh Peradi, Ravi, Sendrayan",Thriller,"AR Murugadoss Mahesh Babu, Rakul Preet Singh, S. J. Surya, Bharath, RJ Balaji, Shaji Chen, Priyadarshi Pullikonda, Sayaji Shinde, Nagineedu, Jayaprakash, Dheepa Ramanujam, Ajay Rathnam, Hareesh Peradi, Ravi, Sendrayan Thriller"
mahanubhavudu,Maruthi Dasari,"Sharwanand, Mehreen Pirzada, Vennela Kishore, Nassar, Raghu Babu, Kalyani Natarajan, Maruthi Dasari(Comeo Appearance In A Song)",Romance Comedy,"Maruthi Dasari Sharwanand, Mehreen Pirzada, Vennela Kishore, Nassar, Raghu Babu, Kalyani Natarajan, Maruthi Dasari(Comeo Appearance In A Song) Romance Comedy"
lavanya with love boys,Vaddepalli Krishna,"Paavani, Hema Sundar",Romance,"Vaddepalli Krishna Paavani, Hema Sundar Romance"
bava maradallu,Gangarapu Lakshman Murthy,Mohan Krishna,Romance,Gangarapu Lakshman Murthy Mohan Krishna Romance
nenu kidnap ayyanu,Sreekara Babu,"Posani Krishna Murali, Brahmanandam, Krishna Bhagawan, Srikanth, Dheeru, Soumithri, Aditi Singh",Comedy,"Sreekara Babu Posani Krishna Murali, Brahmanandam, Krishna Bhagawan, Srikanth, Dheeru, Soumithri, Aditi Singh Comedy"
oye ninne,Satyam Challakoti,"Bharath Margani, Srushti Dange, Thagubothu Ramesh, Thulasi Shivamani",Romance,"Satyam Challakoti Bharath Margani, Srushti Dange, Thagubothu Ramesh, Thulasi Shivamani Romance"
gulf,P. Sunil Kumar Reddy,"Chethan Neni, Dimple, Tanikella Bharani, Posani Krishna Murali",Romance,"P. Sunil Kumar Reddy Chethan Neni, Dimple, Tanikella Bharani, Posani Krishna Murali Romance"
raju gari gadhi 2,Ohmkar,"Akkineni Nagarjuna, Samantha Ruth Prabhu, Seerat Kapoor, Praveen, Ashwin Babu, Vennela Kishore, Shakalaka Shankar, Naresh (actor), Avinash",Horror/Comedy,"Ohmkar Akkineni Nagarjuna, Samantha Ruth Prabhu, Seerat Kapoor, Praveen, Ashwin Babu, Vennela Kishore, Shakalaka Shankar, Naresh (actor), Avinash Horror/Comedy"
raja the great,Anil Ravipudi,"Ravi Teja, Mehreen Pirzada, Raadhika, Vivan Bhatena, Rajendra Prasad, Prakash Raj, Sampath Raj",Action/Drama,"Anil Ravipudi Ravi Teja, Mehreen Pirzada, Raadhika, Vivan Bhatena, Rajendra Prasad, Prakash Raj, Sampath Raj Action/Drama"
oxygen,A. M. Jothi Krishna,"Gopichand, Raashi Khanna, Anu Emmanuel, Shaam, Jagapati Babu, Abhimanyu Singh",Action,"A. M. Jothi Krishna Gopichand, Raashi Khanna, Anu Emmanuel, Shaam, Jagapati Babu, Abhimanyu Singh Action"
nagaram,Logesh Kanagaraj,Maanagaram,Tamil,Logesh Kanagaraj Maanagaram Tamil
sapthagiri llb,Charan Lakkaakula,"Saptagiri, Kashish Vohra, Saikumar Pudipeddi, Shakalaka Shankar",Comedy,"Charan Lakkaakula Saptagiri, Kashish Vohra, Saikumar Pudipeddi, Shakalaka Shankar Comedy"
arjun reddy,Sandeep Reddy Vanga,"Vijay Deverakonda, Shalini Pandey, Kanchana, Rahul Ramakrishna",Romance,"Sandeep Reddy Vanga Vijay Deverakonda, Shalini Pandey, Kanchana, Rahul Ramakrishna Romance"
100% break up,Ezhil Durai,Senjittale En Kadhala,Tamil,Ezhil Durai Senjittale En Kadhala Tamil
poorna,Rahul Bose,Poorna,Hindi,Rahul Bose Poorna Hindi
enthavaraku ee prema,Deekay,Kavalai Vendam,Tamil,Deekay Kavalai Vendam Tamil
mande suryudu,Magizh Thirumeni,Meaghamann,Tamil,Magizh Thirumeni Meaghamann Tamil
sivalinga,P. Vasu,Shivalinga,Tamil,P. Vasu Shivalinga Tamil
pisachi 2,Devaraj Kumar,Danger Zone,Kannada,Devaraj Kumar Danger Zone Kannada
sachin: a billion dreams,James Erskine,Sachin: A Billion Dreams,Hindi,James Erskine Sachin: A Billion Dreams Hindi
kong: skull island,Jordan Vogt-Roberts,Kong: Skull Island,English,Jordan Vogt-Roberts Kong: Skull Island English
marakathamani,ARK Saravanan,Maragadha Naanayam,Tamil,ARK Saravanan Maragadha Naanayam Tamil
spider-man: homecoming,Jon Watts,Spider-Man: Homecoming,English,Jon Watts Spider-Man: Homecoming English
21 july,Dandupalyam 2,Srinivasa Raju,Kannada,Dandupalyam 2 Srinivasa Raju Kannada
team 5,Suresh Govind,Team 5,Malayalam,Suresh Govind Team 5 Malayalam
the foreigner,Martin Campbell,The Foreigner,English,Martin Campbell The Foreigner English
geostorm,Dean Devlin,Geostorm,English,Dean Devlin Geostorm English
julie 2,Deepak Shivdasani,Julie 2,Hindi,Deepak Shivdasani Julie 2 Hindi
15 december,Vijay Milton,10 Endrathukulla,Tamil,Vijay Milton 10 Endrathukulla Tamil
project z,C. V. Kumar,Maayavan,Tamil,C. V. Kumar Maayavan Tamil
mom,Ravi Udyawar,Mom,Hindi,Ravi Udyawar Mom Hindi
logan,James Mangold,Logan,English,James Mangold Logan English
guardians the superheroes,Sarik Andreasyan,Guardians,Russian,Sarik Andreasyan Guardians Russian
resident evil: the final chapter,Paul W. S. Anderson,Resident Evil: The Final Chapter,English,Paul W. S. Anderson Resident Evil: The Final Chapter English
b.tech babulu,Seenu Imandi,"Nandu, Srimukhi, Ali, Pavithra Lokesh, Naval Kishore",Romantic comedy,"Seenu Imandi Nandu, Srimukhi, Ali, Pavithra Lokesh, Naval Kishore Romantic comedy"
malli raava,Gowtam Tinnanuri,"Sumanth, Aakanksha Singh, Kadambari Kiran, Annapoorna",Romance,"Gowtam Tinnanuri Sumanth, Aakanksha Singh, Kadambari Kiran, Annapoorna Romance"
premika,Mahindra,"Tanish Alladi, Shruti Yagal",Romance,"Mahindra Tanish Alladi, Shruti Yagal Romance"
vanavillu,Lanka Prateek Prem Karan,"Lanka Prateek Prem Karan, Shravya Rao, Surekha Vani, Kasi Vishwanath",Action drama,"Lanka Prateek Prem Karan Lanka Prateek Prem Karan, Shravya Rao, Surekha Vani, Kasi Vishwanath Action drama"
kiss kiss bang bang,Karthik Medikonda,"Kiran, Harshada Kulkarni, Mahesh Kathi, Gayathri Gupta",Romantic thriller,"Karthik Medikonda Kiran, Harshada Kulkarni, Mahesh Kathi, Gayathri Gupta Romantic thriller"
idhi maa prema katha,Ayodhya Karthik,"Anchor Ravi, Meghana Lokesh, Prabhas Seenu, Priyadarshi Pullikonda",Romantic drama,"Ayodhya Karthik Anchor Ravi, Meghana Lokesh, Prabhas Seenu, Priyadarshi Pullikonda Romantic drama"
juliet lover of idiot,Ajay Vodhirala,"Naveen Chandra, Niveda Thomas, Abhimanyu Singh, Ester Noronha, Ali",Romantic drama,"Ajay Vodhirala Naveen Chandra, Niveda Thomas, Abhimanyu Singh, Ester Noronha, Ali Romantic drama"
kutumba katha chitram,V. S. Vasu,"Nandu, Sreemukhi, Kamal Kamaraju",Romantic thriller,"V. S. Vasu Nandu, Sreemukhi, Kamal Kamaraju Romantic thriller"
lacchi,Eeshwar,"Tej Dilip, Raghu Babu, Jayathi, Tejaswini, Thagubothu Ramesh, Dhanraj Sukhram",Drama,"Eeshwar Tej Dilip, Raghu Babu, Jayathi, Tejaswini, Thagubothu Ramesh, Dhanraj Sukhram Drama"
mama o chandamama,Vishaka Venkat,"Ram Karthik, Sana Maqbool, Suman, Jeeva",Romantic drama,"Vishaka Venkat Ram Karthik, Sana Maqbool, Suman, Jeeva Romantic drama"
padipoya nee mayalo,RK Kampally,"Arun Gupta, Saveri Durgam, Jayavardhan",Romantic drama,"RK Kampally Arun Gupta, Saveri Durgam, Jayavardhan Romantic drama"
seetha...ramuni kosam,Anil Gopi Reddy,"Sharath Sreerangam, Karunya Chowdhary, Thagubothu Ramesh, Bala",Romantic drama,"Anil Gopi Reddy Sharath Sreerangam, Karunya Chowdhary, Thagubothu Ramesh, Bala Romantic drama"
tholi parichayam,L. Radha Krishna,"Venky, Lasya, Rajeev Kanakala, Viva Harsha",Romantic drama,"L. Radha Krishna Venky, Lasya, Rajeev Kanakala, Viva Harsha Romantic drama"
undha ledha,Siva Prasad,"Ramakrishna, Ankitha",Thriller,"Siva Prasad Ramakrishna, Ankitha Thriller"
mca (middle class abbayi),Venu Sree Raam,"Nani, Sai Pallavi, Bhumika Chawla, Rajeev Kanakala, Naresh",Romantic drama,"Venu Sree Raam Nani, Sai Pallavi, Bhumika Chawla, Rajeev Kanakala, Naresh Romantic drama"
e ee,Ram Ganapati Rao,"Neiraj Sham, Naira Shah, Thagubothu Ramesh, Krishna Bhagawan",Romantic comedy,"Ram Ganapati Rao Neiraj Sham, Naira Shah, Thagubothu Ramesh, Krishna Bhagawan Romantic comedy"
hello,Vikram Kumar,"Akhil Akkineni, Kalyani Priyadarshan, Jagapati Babu, Ramya Krishnan, Ajay",Action,"Vikram Kumar Akhil Akkineni, Kalyani Priyadarshan, Jagapati Babu, Ramya Krishnan, Ajay Action"
okka kshanam,Vi Anand,"Allu Sirish, Surbhi, Seerat Kapoor, Srinivas Avasarala, Jayaprakash",Sci-fi thriller,"Vi Anand Allu Sirish, Surbhi, Seerat Kapoor, Srinivas Avasarala, Jayaprakash Sci-fi thriller"
2 countries,N. Shankar,"Sunil, Manisha Raj, Sanjjanaa, Naresh, Sayaji Shinde, Raja Ravindra",Romantic comedy,"N. Shankar Sunil, Manisha Raj, Sanjjanaa, Naresh, Sayaji Shinde, Raja Ravindra Romantic comedy"
jawaan,B. V. S. Ravi,"Sai Dharam Tej, Mehreen Pirzada, Prasanna, Subbaraju, Satyam Rajesh, Jaya Prakash, Kota Srinivasa Rao",Action,"B. V. S. Ravi Sai Dharam Tej, Mehreen Pirzada, Prasanna, Subbaraju, Satyam Rajesh, Jaya Prakash, Kota Srinivasa Rao Action"
preminche panilo vunna,Pradeep Manchala,"Raghuram Dronavajjala, Bindu Barbie",Romance,"Pradeep Manchala Raghuram Dronavajjala, Bindu Barbie Romance"
ungarala rambabu,Kranthi Madhav,"Sunil, Miya, Ashish Vidyarthi, Posani Krishna Murali, Prakash Raj, Ali, Rajeev Kanakala, Raja Ravindra, Vennela Kishore",Comedy,"Kranthi Madhav Sunil, Miya, Ashish Vidyarthi, Posani Krishna Murali, Prakash Raj, Ali, Rajeev Kanakala, Raja Ravindra, Vennela Kishore Comedy"
anando brahma,Mahi V Raghav,"Taapsee Pannu, Srinivasa Reddy, Vennela Kishore, Thagubothu Ramesh, Shakalaka Shankar",Horror Comedy,"Mahi V Raghav Taapsee Pannu, Srinivasa Reddy, Vennela Kishore, Thagubothu Ramesh, Shakalaka Shankar Horror Comedy"
happy birthday,Pallela Veerareddy,"Chennamaneni Sridhar, Jyoti Sethi, Sanjjanaa, Sravan Raghavendra",Thriller,"Pallela Veerareddy Chennamaneni Sridhar, Jyoti Sethi, Sanjjanaa, Sravan Raghavendra Thriller"
maa abbayi,Kumar Vatti,"Chitra Shukla, Sree Vishnu",Romance,"Kumar Vatti Chitra Shukla, Sree Vishnu Romance"
nenorakam,Sudharshan Salendra,"Sai Ram Shankar, Reshmi Menon, R. Sarath Kumar",Action,"Sudharshan Salendra Sai Ram Shankar, Reshmi Menon, R. Sarath Kumar Action"
pichiga nachav,V. Sesibhushan,"Sanjeev, Chetana Uttej, Nandu, Karunya",Romance,"V. Sesibhushan Sanjeev, Chetana Uttej, Nandu, Karunya Romance"
katamarayudu,Kishore Kumar Pardasani,"Pawan Kalyan, Shruti Hassan, Kamal Kamaraju",Action,"Kishore Kumar Pardasani Pawan Kalyan, Shruti Hassan, Kamal Kamaraju Action"
kannayya,Vipul,"Vipul, Harshita Singh Panwar",Romantic drama,"Vipul Vipul, Harshita Singh Panwar Romantic drama"
nuvvu evaro nenu evaro,Bhaskar,"Suman Shetty, Meghana Rai",Romance,"Bhaskar Suman Shetty, Meghana Rai Romance"
cine mahal - rojuki 4 aatalu,Laxman Varma,"Ryan Rahul, Thejaswini, Siddhansh, Jeeva",Drama,"Laxman Varma Ryan Rahul, Thejaswini, Siddhansh, Jeeva Drama"
guru,Sudha Kongara Prasad,"Daggubati Venkatesh, Ritika Singh",Action,"Sudha Kongara Prasad Daggubati Venkatesh, Ritika Singh Action"
rogue,Puri Jagannadh,"Ishaan, Mannara Chopra, Angela Krislinzki, Thakur Anoop Singh, Posani Krishna Murali, Ajaz Khan",Action,"Puri Jagannadh Ishaan, Mannara Chopra, Angela Krislinzki, Thakur Anoop Singh, Posani Krishna Murali, Ajaz Khan Action"
aranyamlo,Sudarshan Reddy Palvai,"Rohit, Shalu, Charan Naidu",Horror,"Sudarshan Reddy Palvai Rohit, Shalu, Charan Naidu Horror"
chinni chinni asalu nalo regene,Santhosh Nelanti,"Keerthi Manu, Sonia Deepti, Pavan, Thagubothu Ramesh",Romance,"Santhosh Nelanti Keerthi Manu, Sonia Deepti, Pavan, Thagubothu Ramesh Romance"
kathrina kareena madyalo kamalhaasan,Ratna Korepally,"Mamatha Rahuth, Sasanka Mouli, Chithram Sreenu",Comedy,"Ratna Korepally Mamatha Rahuth, Sasanka Mouli, Chithram Sreenu Comedy"
lakshmi devi samarpinchu nede chudandi,Jakee Atheek,"Naresh, Aamani, Akhil, Charan, Kiran, Sonu,Poonam, Srikoti, Naga Babu",Fantasy/Comedy,"Jakee Atheek Naresh, Aamani, Akhil, Charan, Kiran, Sonu,Poonam, Srikoti, Naga Babu Fantasy/Comedy"
nuvvu nenu osey orey,Ravichandra Kannikanti,"Arjun Mahi, Ashwini, Prudhviraj",Romance,"Ravichandra Kannikanti Arjun Mahi, Ashwini, Prudhviraj Romance"
saranam gacchami,Premaraj Enumula,"Naveen Sanjay, Tanishq Tiwari, Posani Krishna Murali",Drama,"Premaraj Enumula Naveen Sanjay, Tanishq Tiwari, Posani Krishna Murali Drama"
 mister,Srinu Vaitla,"Varun Tej, Lavanya Tripathi , Hebah Patel",Action,"Srinu Vaitla Varun Tej, Lavanya Tripathi , Hebah Patel Action"
dhada puttistha,Harish. E,"Vinni Viyan, Neha Deshpande, Harini, Aanya",Romantic thriller,"Harish. E Vinni Viyan, Neha Deshpande, Harini, Aanya Romantic thriller"
iddari madhya 18,Nani Acharya,"Ram Karthik, Bhanu Tripatri",Romance,"Nani Acharya Ram Karthik, Bhanu Tripatri Romance"
lakshmi bomb,Karthikeya Gopalakrishna,"Lakshmi Manchu, Posani Krishna Murali, Hema Syed, Jeeva Balachander",Comedy,"Karthikeya Gopalakrishna Lakshmi Manchu, Posani Krishna Murali, Hema Syed, Jeeva Balachander Comedy"
lanka,Sri Muni,"Raasi, Sai Ronak, Ina Saaha, Sijju, Supreeth, Leena Siddhu, Rajesh, Sathya, Sudarshan",Thriller,"Sri Muni Raasi, Sai Ronak, Ina Saaha, Sijju, Supreeth, Leena Siddhu, Rajesh, Sathya, Sudarshan Thriller"
chitrangada,G. Ashok,"Anjali, Sakshi Gulati, Saptagiri, Raja Ravindra",Comedy thriller,"G. Ashok Anjali, Sakshi Gulati, Saptagiri, Raja Ravindra Comedy thriller"
kittu unnadu jagratha,Vamsi Krishna,"Raj Tarun, Anu Emmanuel, Arbaaz Khan",Romance / Action,"Vamsi Krishna Raj Tarun, Anu Emmanuel, Arbaaz Khan Romance / Action"
evaro tanevaro,S. Babji,"Naveen Gautham, Sarayu, Chalapathi Rao, Priyanka",Horror/thriller,"S. Babji Naveen Gautham, Sarayu, Chalapathi Rao, Priyanka Horror/thriller"
inkenti nuvve cheppu,Siva Sri,"Prashanth Bodetti, Manikanta Sunny, Pujitha, Suman",Romance,"Siva Sri Prashanth Bodetti, Manikanta Sunny, Pujitha, Suman Romance"
no.1 hero rajendar love stori,Rajendar,"Rajendar, Sri Devi",Romance,"Rajendar Rajendar, Sri Devi Romance"
padamati sandhyaragam london lo,Vamshi Muniganti,"Mirabel Stuart, Chaitu Shantharam, Shahela Rani",Romantic comedy,"Vamshi Muniganti Mirabel Stuart, Chaitu Shantharam, Shahela Rani Romantic comedy"
ye rojaithey chusaano,G. Bala,"Manoj Nandam, Suma, Smithika Acharya, Monika Singh",Erotic romance,"G. Bala Manoj Nandam, Suma, Smithika Acharya, Monika Singh Erotic romance"
khaidi no. 150,V.V. Vinayak,"Chiranjeevi, Kajal Aggarwal, Tarun Arora",Action drama,"V.V. Vinayak Chiranjeevi, Kajal Aggarwal, Tarun Arora Action drama"
prathi kshanam,G. M. K. Reddy,"Maneesh, Tejaswini Prakash, Veda Sastry",Thriller,"G. M. K. Reddy Maneesh, Tejaswini Prakash, Veda Sastry Thriller"
head constable venkataramaiah,Chadalavada Srinivasa Rao,"R. Narayana Murthy, Jayasudha",Crime drama,"Chadalavada Srinivasa Rao R. Narayana Murthy, Jayasudha Crime drama"
shatamanam bhavati,Satish Vegesna,"Sharwanand, Anupama Parameswaran, Prakash Raj, Jayasudha",Romantic drama,"Satish Vegesna Sharwanand, Anupama Parameswaran, Prakash Raj, Jayasudha Romantic drama"
luckunnodu,Raj Kiran,"Manchu Vishnu, Hansika Motwani",Action/ Comedy,"Raj Kiran Manchu Vishnu, Hansika Motwani Action/ Comedy"
nenu local,Trinadha Rao Nakkina,"Nani, Keerthy Suresh, Naveen Chandra, Sachin Khedekar",Romantic Comedy,"Trinadha Rao Nakkina Nani, Keerthy Suresh, Naveen Chandra, Sachin Khedekar Romantic Comedy"
ika..se..love,Dungroth Nagaraj,"Sai Ravi, Deepthi",Romance,"Dungroth Nagaraj Sai Ravi, Deepthi Romance"
om namo venkatesaya,K. Raghavendra Rao,"Nagarjuna Akkineni, Anushka Shetty, Jagapati Babu, Saurabh Raj Jain",Devotional-Biographical,"K. Raghavendra Rao Nagarjuna Akkineni, Anushka Shetty, Jagapati Babu, Saurabh Raj Jain Devotional-Biographical"
 ghazi,Sankalp Reddy,"Daggubati Rana, Taapsee Pannu, Kay Kay Menon, Atul Kulkarni",War,"Sankalp Reddy Daggubati Rana, Taapsee Pannu, Kay Kay Menon, Atul Kulkarni War"
vajralu kavala nayana,Radha Krishna,"Anil Buragani, Nikitha Bhist, Kasi Sivakumar",Comedy,"Radha Krishna Anil Buragani, Nikitha Bhist, Kasi Sivakumar Comedy"
c/o godavari,Raja Rammohan,"Deepu Naidu, Rohit Sirigiri, Shruthi Varma, Posani Krishna Murali, Prabhas Sreenu, Suman",Drama,"Raja Rammohan Deepu Naidu, Rohit Sirigiri, Shruthi Varma, Posani Krishna Murali, Prabhas Sreenu, Suman Drama"
winner,Gopichand Malineni,"Sai Dharam Tej, Rakul Preet Singh, Jagapati Babu, Mukesh Rishi",Action,"Gopichand Malineni Sai Dharam Tej, Rakul Preet Singh, Jagapati Babu, Mukesh Rishi Action"
dwaraka,Srinivas Ravindra,"Vijay Deverakonda, Pooja Jhaveri, Prakash Raj, Surekha Vani",Romance,"Srinivas Ravindra Vijay Deverakonda, Pooja Jhaveri, Prakash Raj, Surekha Vani Romance"
gunturodu,S. K. Satya,"Manchu Manoj, Pragya Jaiswal, Rajendra Prasad, Kota Srinivasa Rao, Sampath Raj",Romance / Action,"S. K. Satya Manchu Manoj, Pragya Jaiswal, Rajendra Prasad, Kota Srinivasa Rao, Sampath Raj Romance / Action"
aakatayi,Rom Bhimana,"Aashish Raj, Rukshar Mir, Suman, Posani Krishna Murali, Brahmanandam",Action,"Rom Bhimana Aashish Raj, Rukshar Mir, Suman, Posani Krishna Murali, Brahmanandam Action"
lover boy,Sanjeev Naidu,"Sanjeev Naidu, Sonia Chowdhary",Romance,"Sanjeev Naidu Sanjeev Naidu, Sonia Chowdhary Romance"
gautamiputra satakarni,Krish,"Nandamuri Balakrishna, Shriya Saran, Hema Malini, Shiva Rajkumar",Historical drama,"Krish Nandamuri Balakrishna, Shriya Saran, Hema Malini, Shiva Rajkumar Historical drama"
babu baga busy,Naveen Medaram,"Srinivas Avasarala, Tejaswi Madivada, Mishti Chakraborty, Sreemukhi",Comedy,"Naveen Medaram Srinivas Avasarala, Tejaswi Madivada, Mishti Chakraborty, Sreemukhi Comedy"
rendu rellu aaru,Nandu,"Anil Mallela, Mahima, Aishwarya Gorak, Naresh",Romance,"Nandu Anil Mallela, Mahima, Aishwarya Gorak, Naresh Romance"
dr. chakravarthy,Shekkhar Suri,"Richard Rishi, Sonia Mann, Lena",Thriller,"Shekkhar Suri Richard Rishi, Sonia Mann, Lena Thriller"
patel s. i. r.,Vasu Parimi,"Jagapati Babu, Padmapriya Janakiraman, Tanya Hope, Posani Krishna Murali, Raghu Babu",Action,"Vasu Parimi Jagapati Babu, Padmapriya Janakiraman, Tanya Hope, Posani Krishna Murali, Raghu Babu Action"
shamanthakamani,Sriram Adittya,"Nara Rohit, Sundeep Kishan, Aadi, Sudheer Babu, Rajendra Prasad",Action thriller,"Sriram Adittya Nara Rohit, Sundeep Kishan, Aadi, Sudheer Babu, Rajendra Prasad Action thriller"
fidaa,Sekhar Kammula,"Varun Tej, Sai Pallavi, Satyam Rajesh",Romance,"Sekhar Kammula Varun Tej, Sai Pallavi, Satyam Rajesh Romance"
kala varam aaye,Sampath V. Kumar,"Vibheesh, Priyanka Jawalkar, Chandra Mohan, Sanjeev",Romantic drama,"Sampath V. Kumar Vibheesh, Priyanka Jawalkar, Chandra Mohan, Sanjeev Romantic drama"
maya mall,Govind Lalam,"Dilip Kumar, Eesha Rebba, Deeksha Panth, Thagubothu Ramesh",Horror,"Govind Lalam Dilip Kumar, Eesha Rebba, Deeksha Panth, Thagubothu Ramesh Horror"
vaisakham,Jaya. B,"Harish, Avantika Mishra, Balireddy Pruthviraj",Romance,"Jaya. B Harish, Avantika Mishra, Balireddy Pruthviraj Romance"
rakshasi,Panna Royal,"Abhimanyu Singh, Poorna, Panna Royal, Baby Dhanvi, Thagubothu Ramesh",Horror,"Panna Royal Abhimanyu Singh, Poorna, Panna Royal, Baby Dhanvi, Thagubothu Ramesh Horror"
goutham nanda,Sampath Nandi,"Gopichand, Hansika Motwani, Catherine Tresa, Sachin Khedekar, Mukesh Rishi, Nikitin Dheer, Ajay",Action,"Sampath Nandi Gopichand, Hansika Motwani, Catherine Tresa, Sachin Khedekar, Mukesh Rishi, Nikitin Dheer, Ajay Action"
darsakudu,Jakka Hari Prasad,"Ashok Bandreddi, Eesha Rebba, Poojitha Ponnada",Romantic drama,"Jakka Hari Prasad Ashok Bandreddi, Eesha Rebba, Poojitha Ponnada Romantic drama"
green card,Rums,"Shatrughna Rayapati, Stephany, Chalapathi Rao",Comedy drama,"Rums Shatrughna Rayapati, Stephany, Chalapathi Rao Comedy drama"
idem deyyam,V. Ravi Varma,"Racha Ravi, Kirak RP, Rachana Smith, Ruchi",Comedy drama,"V. Ravi Varma Racha Ravi, Kirak RP, Rachana Smith, Ruchi Comedy drama"
nakshatram,Krishna Vamsi,"Sundeep Kishan, Sai Dharam Tej, Regina Cassandra, Pragya Jaiswal, Prakash Raj, Tanish",Action,"Krishna Vamsi Sundeep Kishan, Sai Dharam Tej, Regina Cassandra, Pragya Jaiswal, Prakash Raj, Tanish Action"
lie,Hanu Raghavapudi,"Nithiin, Megha Akash, Arjun Sarja, Ravi Kishan, Nassar",Thriller,"Hanu Raghavapudi Nithiin, Megha Akash, Arjun Sarja, Ravi Kishan, Nassar Thriller"
jaya janaki nayaka,Boyapati Srinu,"Bellamkonda Sreenivas, Rakul Preet Singh, Jagapati Babu, Tarun Arora, R. Sarathkumar",Action,"Boyapati Srinu Bellamkonda Sreenivas, Rakul Preet Singh, Jagapati Babu, Tarun Arora, R. Sarathkumar Action"
nene raju nene mantri,Teja,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa, Navdeep, Ashutosh Rana, Pradeep Rawat",Political Thriller,"Teja Rana Daggubati, Kajal Aggarwal, Catherine Tresa, Navdeep, Ashutosh Rana, Pradeep Rawat Political Thriller"
baahubali: the conclusion,S. S. Rajamouli,"Prabhas, Anushka Shetty, Ramya Krishna, Rana Daggubati, Tamannaah, Sathyaraj",Epic/Historical fiction,"S. S. Rajamouli Prabhas, Anushka Shetty, Ramya Krishna, Rana Daggubati, Tamannaah, Sathyaraj Epic/Historical fiction"
naku nene thopu turumu,Sivamani Reddy,"Ashok Sunkara, Manasa Chalapathi Rao, Suman Shetty",Comedy,"Sivamani Reddy Ashok Sunkara, Manasa Chalapathi Rao, Suman Shetty Comedy"
ninnu kori,Shiva Nirvana,"Nani, Niveda Thomas, Aadhi Pinisetty, Tanikella Bharani, Murali Sharma, Rajashree, Neetu Chandra",Romance,"Shiva Nirvana Nani, Niveda Thomas, Aadhi Pinisetty, Tanikella Bharani, Murali Sharma, Rajashree, Neetu Chandra Romance"
vasham,Srikanth Challa,"Nanda Kishore, Vasudev Rao, Swethaa Varma",Thriller,"Srikanth Challa Nanda Kishore, Vasudev Rao, Swethaa Varma Thriller"
jayadev,Jayanth C. Paranjee,"Ganta Ravi, Malvika Raaj, Vinod Kumar, Posani Krishna Murali, Vennela Kishore",Action,"Jayanth C. Paranjee Ganta Ravi, Malvika Raaj, Vinod Kumar, Posani Krishna Murali, Vennela Kishore Action"
khayyum bhai,Bharath,"Katta Rambabu, Taraka Ratna, Priya Harshitha",Action,"Bharath Katta Rambabu, Taraka Ratna, Priya Harshitha Action"
rakshaka bhatudu,Vamsi Krishna Akella,"Richa Panai, Brahmaji, Brahmanandam, Prabhakar",Action-comedy,"Vamsi Krishna Akella Richa Panai, Brahmaji, Brahmanandam, Prabhakar Action-comedy"
venkatapuram,Venu Madikanti,"Rahul Haridas, Mahima Makwana, Ajay",Thriller,"Venu Madikanti Rahul Haridas, Mahima Makwana, Ajay Thriller"
mixture potlam,Sathish Kumar M. V.,"Shweta Basu Prasad, Jayanth, Geethanjali Thasya, Posani Krishna Murali, Bhanuchander",Romantic comedy,"Sathish Kumar M. V. Shweta Basu Prasad, Jayanth, Geethanjali Thasya, Posani Krishna Murali, Bhanuchander Romantic comedy"
tik tak,Haranath Policherla,"Haranath Policherla, Mounika, Nishi Gandha",Horror,"Haranath Policherla Haranath Policherla, Mounika, Nishi Gandha Horror"
gopyam,Ballem Venu Madhav,"Tharun Sharma, Indu Priya, Annapoorna",Thriller,"Ballem Venu Madhav Tharun Sharma, Indu Priya, Annapoorna Thriller"
neelimalai,Suryakiran Eladi,"Anand Krishna, Vrushali Gosavi, Ali, Satya Prakash",Romantic drama,"Suryakiran Eladi Anand Krishna, Vrushali Gosavi, Ali, Satya Prakash Romantic drama"
o pilla nee valla,Kishore,"Krishna Chaitanya, Rajesh Rathod, Monica Singh",Romance,"Kishore Krishna Chaitanya, Rajesh Rathod, Monica Singh Romance"
rarandoi veduka chudham,Kalyan Krishna Kurasala,"Naga Chaitanya, Rakul Preet Singh, Jagapati Babu, Sampath Raj, Vennela Kishore, Posani Krishna Murali, Balireddy Pruthviraj",Romance/Drama,"Kalyan Krishna Kurasala Naga Chaitanya, Rakul Preet Singh, Jagapati Babu, Sampath Raj, Vennela Kishore, Posani Krishna Murali, Balireddy Pruthviraj Romance/Drama"
keshava,Sudheer Varma,"Nikhil Siddharth, Ritu Varma, Isha Koppikar, Rao Ramesh",Action thriller,"Sudheer Varma Nikhil Siddharth, Ritu Varma, Isha Koppikar, Rao Ramesh Action thriller"
sriramudinta srikrishnudanta,Naresh Penta,"Sekhar Varma, Deepthi Shetty, Madhusudhanan Rao, Madhumani Nidu",Romance,"Naresh Penta Sekhar Varma, Deepthi Shetty, Madhusudhanan Rao, Madhumani Nidu Romance"
