Title,Director,Cast,Genre,comb
maa aavida meda ottu mee aavida chala manchidi,E. V. V. Satyanarayana,"Meka Srikanth, Laya, Raasi, Vadde Naveen",Drama,"E. V. V. Satyanarayana Meka Srikanth, Laya, Raasi, Vadde Naveen Drama"
chinna,Dasari Narayana Rao,"Dasari Narayana Rao, Kota Srinivasa Rao, Betha Sudhakar",Action,"Dasari Narayana Rao Dasari Narayana Rao, Kota Srinivasa Rao, Betha Sudhakar Action"
repallelo radha,Saritha,"Dileep, Gummadi, Satyanarayana",Drama,"Saritha Dileep, Gummadi, Satyanarayana Drama"
raave naa cheliya,P Kishore Kumar,"Sai Kiran, AVS, Prudhviraj",Romance,"P Kishore Kumar Sai Kiran, AVS, Prudhviraj Romance"
pandanti samsaram,Krishna,"Krishna, Babu Mohan, Kota Srinivasa Rao",Drama,"Krishna Krishna, Babu Mohan, Kota Srinivasa Rao Drama"
prematho raa,Udayasankar,"Venkatesh, Simran",Romance,"Udayasankar Venkatesh, Simran Romance"
ammayi kosam,Muppalaneni Siva,"Vineeth, Meena, Ravi Teja, Venu",Comedy,"Muppalaneni Siva Vineeth, Meena, Ravi Teja, Venu Comedy"
love,Ravi Chavali,"Sivaji, Manya, Ali, Tanikella Bharani",Romance,"Ravi Chavali Sivaji, Manya, Ali, Tanikella Bharani Romance"
kushi,S. J. Suryah,"Pawan Kalyan, Bhoomika Chawla, Mumtaj",Romance,"S. J. Suryah Pawan Kalyan, Bhoomika Chawla, Mumtaj Romance"
darling darling,M. V. Murali Krishna,"Srikanth, Shaheen Khan",Romance,"M. V. Murali Krishna Srikanth, Shaheen Khan Romance"
ninnu chudalani,V. R. Pratap,"Jr. NTR, Raveena Rajput",Romance,"V. R. Pratap Jr. NTR, Raveena Rajput Romance"
orey thammudu,Sai Balaji,"Srihari, Sanghavi",Action,"Sai Balaji Srihari, Sanghavi Action"
prudhvi narayana,P. Vasu,"Srihari, Vijayalakshmi, Meghana Naidu, Lakshmi",Action,"P. Vasu Srihari, Vijayalakshmi, Meghana Naidu, Lakshmi Action"
prema sakshiga,V. Jyothi Kumar,"Vijay, Swetha, Anjali, Sraavan",Romance,"V. Jyothi Kumar Vijay, Swetha, Anjali, Sraavan Romance"
bharata simha reddy,G. Nageswara Reddy,"Rajasekhar, Meena, Gajala, Ravali, Brahmanandam",Action,"G. Nageswara Reddy Rajasekhar, Meena, Gajala, Ravali, Brahmanandam Action"
chennakeshava reddy,V. V. Vinayak,"Nandamuri Balakrishna, Shriya Saran, Tabu, Devayani",Action,"V. V. Vinayak Nandamuri Balakrishna, Shriya Saran, Tabu, Devayani Action"
khaidi brothers,Sahar,"Sai Kumar, Lakshman, Ram, Surya Prakash, Rekha",Action,"Sahar Sai Kumar, Lakshman, Ram, Surya Prakash, Rekha Action"
okato number kurradu,A. Kodandarami Reddy,"Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam",Action / Romance,"A. Kodandarami Reddy Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam Action / Romance"
holi,Vara Prasad,"Uday Kiran, Richa Pallod, Sunil",Romance,"Vara Prasad Uday Kiran, Richa Pallod, Sunil Romance"
manamiddaram,unknown,"Raja Sridhar, Sonali Joshi, Lahari",Romance,"unknown Raja Sridhar, Sonali Joshi, Lahari Romance"
sontham,Srinu Vaitla,"Aryan Rajesh, Namitha, Rohith, Sunil",Romance,"Srinu Vaitla Aryan Rajesh, Namitha, Rohith, Sunil Romance"
neetho,B. Satya Naidu,"Akash, Ashita, Anu Priya, Giribabu, Sudhakar",Drama,"B. Satya Naidu Akash, Ashita, Anu Priya, Giribabu, Sudhakar Drama"
kuchi kuchi koonamma,Ashok Kumar,"Jakeer, Siri, K. Viswanath",Romance,"Ashok Kumar Jakeer, Siri, K. Viswanath Romance"
ninne cherukunta,unknown,"Revanth, Shwetha, Chandra Mohan",Romance,"unknown Revanth, Shwetha, Chandra Mohan Romance"
avunu valliddaru ista paddaru!,Vamsi,"Ravi Teja, Kalyani",Romance,"Vamsi Ravi Teja, Kalyani Romance"
indra,B. Gopal,"Chiranjeevi, Sonali Bendre, Aarti Agarwal",Action/Drama,"B. Gopal Chiranjeevi, Sonali Bendre, Aarti Agarwal Action/Drama"
allari ramudu,B. Gopal,"Jr. NTR, Aarti Agarwal, Gajala",Action,"B. Gopal Jr. NTR, Aarti Agarwal, Gajala Action"
girl friend,unknown,"Rohith, Anitha Patil",Romance,"unknown Rohith, Anitha Patil Romance"
janam,Ayyappa P. Sharma,"Sai Kumar, Vani Viswanath, Thriller Manju, Zarina",Action,"Ayyappa P. Sharma Sai Kumar, Vani Viswanath, Thriller Manju, Zarina Action"
kanulu moosina neevaye,Manjula Naidu,"Deepak, Archana",Romance,"Manjula Naidu Deepak, Archana Romance"
malli malli chudali,Pawan Sridhar,"Venu, Janani",Romance,"Pawan Sridhar Venu, Janani Romance"
idiot,Puri Jagannadh,"Ravi Teja, Rakshita",Action / Romance,"Puri Jagannadh Ravi Teja, Rakshita Action / Romance"
aahuti,Y. Sai Nivas,Chandra Babu,Drama,Y. Sai Nivas Chandra Babu Drama
ninnu choodaka nenundalenu,R. Srinivas,"Sachin, Bhavana Pani",Romance / Drama,"R. Srinivas Sachin, Bhavana Pani Romance / Drama"
janda,Kodi Ramakrishna,"Ajju, Sravan, Akrithi",Action,"Kodi Ramakrishna Ajju, Sravan, Akrithi Action"
anveshana,unknown,"Ravi Teja, Radhika Varma, Bose, Raghu Babu, Jeeva",Thriller,"unknown Ravi Teja, Radhika Varma, Bose, Raghu Babu, Jeeva Thriller"
sreeram,V. N. Aditya,"Uday Kiran, Anitha Hassanandani, Ashish Vidyarthi",Romance,"V. N. Aditya Uday Kiran, Anitha Hassanandani, Ashish Vidyarthi Romance"
manmadhudu,K. Vijaya Bhaskar,"Akkineni Nagarjuna, Sonali Bendre, Anshu",Romance,"K. Vijaya Bhaskar Akkineni Nagarjuna, Sonali Bendre, Anshu Romance"
premalo pavani kalyan,Polur Ghatikachalam,"Deepak, Ankitha, Anita Hassanandani",Romance,"Polur Ghatikachalam Deepak, Ankitha, Anita Hassanandani Romance"
coolie,unknown,"Srihari, Raasi, Mumtaj",Action,"unknown Srihari, Raasi, Mumtaj Action"
trinetram,Kodi Ramakrishna,"Sijju, Raasi",Action,"Kodi Ramakrishna Sijju, Raasi Action"
thotti gang,E. V. V. Satyanarayana,"Allari Naresh, Prabhu Deva, Sunil, Anitha, Gajala",Romance,"E. V. V. Satyanarayana Allari Naresh, Prabhu Deva, Sunil, Anitha, Gajala Romance"
yuvarathna,U. Narayana Rao,"Nandamuri Taraka Ram, Jeevitha",Action,"U. Narayana Rao Nandamuri Taraka Ram, Jeevitha Action"
khadgam,Krishna Vamshi,"Ravi Teja, Srikanth, Sonali Bendre, Prakash Raj, Kim Sharma, Sangeetha",Action,"Krishna Vamshi Ravi Teja, Srikanth, Sonali Bendre, Prakash Raj, Kim Sharma, Sangeetha Action"
2 much,K. Veeru,"Balakumar, Ruthika, Ali",unknown,"K. Veeru Balakumar, Ruthika, Ali unknown"
eeswar,Jayanth C. Paranjee,"Prabhas, Sridevi Vijayakumar, Revathi",Action / Romance,"Jayanth C. Paranjee Prabhas, Sridevi Vijayakumar, Revathi Action / Romance"
siva rama raju,V. Samudra,"Jagapathi Babu, Mounika, Venkat, Nandamuri Harikrishna",Action,"V. Samudra Jagapathi Babu, Mounika, Venkat, Nandamuri Harikrishna Action"
nee sneham,Parichuri Murali,"Uday Kiran, Aarti Agarwal, Jatin Grewal",Romance,"Parichuri Murali Uday Kiran, Aarti Agarwal, Jatin Grewal Romance"
bobby,Sobhan,"Mahesh Babu, Aarti Agarwal",Action,"Sobhan Mahesh Babu, Aarti Agarwal Action"
police sisters,Vikki,"Roja, Raasi, Sridhar, Brahmanandam",Action,"Vikki Roja, Raasi, Sridhar, Brahmanandam Action"
pilisthe palukutha,Kodi Ramakrishna,"Jai Akash, Shamita Shetty",Romance,"Kodi Ramakrishna Jai Akash, Shamita Shetty Romance"
dhanalakshmi i love you,Siva Nageswara Rao,"Allari Naresh, Aditya Om, Ankitha",Romance,"Siva Nageswara Rao Allari Naresh, Aditya Om, Ankitha Romance"
