Year,Month,Title,Director,Cast,Genre
2001,OCT,Thank You Subba Rao,E. V. V. Satyanarayana,"Srihari, Prakash Raj, Ramya Krishna",Drama
2001,OCT,Daddy,Suresh Krishna,"Chiranjeevi, Simran, Ashima Bhalla",Drama
2001,SEP,Time Pass,Sanfireddy Dasaradh,"Ajay, Asha Saini, Janardhan Maharshi",Comedy
2001,NOV,Hyderabad,Ayyappa P Sharma,"Ayyappa P Sharma, Venu Madhav, P. J. Sarma",Social
2001,JUL,Atu America-Itu India,Gummaluri Shastry,"Vijay Nainan, Venessa, Sunny",Social
2001,DEC,Ishtam,Vikram Kumar,"Charan, Shriya Saran",Romance
2001,JUN,Khaki Chokka,Vikky,"Sai Kumar, Neelambari, Thriller Manju",Action
2001,MAR,Deevinchandi,Muthyala Subbaiah,"Srikanth, Raasi, Malavika",Romance
2001,MAR,Cheppukondi Chuddam,K Ranga Rao,"Suman, M. S. Narayana, Tirupathi Prakash",Comedy
2001,MAR,Budget Padmanabham,S. V. Krishna Reddy,"Jagapati Babu, Ravi Teja, Ramya Krishnan",Comedy Drama
2001,MAR,Pillalu Techina Annala Rajyam,C. H. M. Krishna,"Prasad Babu, Ravindra, Narasimha Raju",Drama
2001,MAR,Madhura Kshanam,Aalla Rambabu,"Chalapathi, Aarti Chhabria",Romance
2001,FEB,Sorry Aunty,Natti Kumar,"Uttej, Gundu Hanumantha Rao, Tirupathi Prakash",Comedy
2001,FEB,Maa Ayana Sundarayya,Hari Babu,"Srihari, Sangeeta Kota Srinivasa Rao",Drama
2001,FEB,Ammo Bomma,Relangi Narasimha Rao,"Rajendra Prasad, Suman",Horror Comedy
2001,FEB,Priyamaina Neeku,Balasekaran,"Tarun Kumar, Sneha",Romance
2001,FEB,Malli Inkoka Sari,Sahadev Reddy,"Sri Madhav, Sahana, Snehita",Romance
2001,FEB,Soori,Sankara Kumar,"J. D. Chakravarthy, Priyanka Upendra, Tanikella Bharani",Drama
2001,FEB,Navvuthu Bratakalira,Kodi Ramakrishna,"J. D. Chakravarthy, Sangeeta",Drama
2001,JAN,Shivudu,Gosangi Krishna Rao,"Suresh, Satyaprakash, Betha Sudhakar, M. S. Narayana",Action
2001,JUL,Simharasi,V. Samudra,"Rajasekhar, Sakshi Shivanand",Family
2001,JAN,Devi Putrudu,Kodi Ramakrishna,"Venkatesh, Soundarya, Anjala Zaveri",Fantasy
2001,JAN,Narasimha Naidu,B. Gopal,"Nandamuri Balakrishna, Simran, K. Vishwanath",Drama
2001,JAN,Mrugaraju,Gunasekhar,"Chiranjeevi, Simran, Nagendra Babu",Action
2001,MAR,Railway Coolie,Kodi Ramakrishna,"Mammootty, Meena, Harish",Action
2001,MAR,Eduruleni Manishi,Srinivasa Rao,"Akkineni Nagarjuna, Soundarya, Shenaz Treasurywala",Action
2001,FEB,Murari,Krishna Vamsi,"Mahesh Babu, Sonali Bendre",Romance
2001,APR,Akka Bavekkada,Raja Vannem Reddy,"J. D. Chakravarthy, Raasi",Romance
2001,APR,Preminchu,Boyani Subbarao,"Sai Kiran, Laya",Drama
2001,JUN,Kalisi Naduddam,Kodi Ramakrishna,"Srikanth, Soundarya, Rama Prabha, Brahmanandam",Drama
2001,JUN,Vechi Vunta,Sriram Murthy,"Raja, Uttej, Krishna Bhagavaan",Romance
2001,JUN,Sri Manjunatha,K. Raghavendra Rao,"Arjun, Soundarya, Chiranjeevi, Meena Durairaj",Devotional
2001,JUN,Bhalevadivi Basu,P. A. Arun Prasad,"Balakrishna Nandamuri, Shilpa Shetty, Anjala Zaveri",Romance
2001,JUN,Bava Nachadu,KS Ravikumar,"Akkineni Nagarjuna, Simran, Reema Sen",Romance
2001,JUN,Family circus,Teja,"Jagapati Babu, Rajendra Prasad, Roja",Comedy
